frequencia,fonte,resistencia,capacitor
"90,000","8,800","1,210","8,670"
"223,000","8,860","2,790","8,240"
"347,000","8,810","3,970","7,610"
"464,000","8,760","4,900","6,960"
"536,000","8,700","5,300","6,600"
"674,000","8,680","6,030","5,930"
"776,000","8,600","6,400","5,450"
"1020,000","8,610","7,000","4,550"
"1230,000","8,580","7,370","3,940"
"1620,000","8,540","7,660","3,200"
"2010,000","8,520","7,900","2,600"
"2540,000","8,900","8,200","0,930"
"2910,000","9,800","9,300","0,930"
"3610,000","12,600","12,300","2,240"
"5000,000","12,600","12,440","1,630"
"7160,000","12,630","12,550","1,220"
"1010,000","12,600","12,590","0,880"
"15400,000","12,600","12,590","0,580"