frequencia,fonte,resistencia,indutor
"49,8","1,211","1,046","0,209"
"100,18","1,225","1,035","0,333"
150,"1,242","1,01","0,462"
257,"1,295","0,96","0,72"
345,"1,346","0,904","0,9"
451,"1,408","0,831","1,072"
612,"1,495","0,726","1,26"
740,"1,545","0,653","1,361"
906,"1,591","0,572","1,451"
1506,"1,673","0,38","1,675"
2003,"1,701","0,294","1,656"
3965,"1,737","0,162","1,725"
5007,"1,741","0,123","1,735"
7004,"1,745","0,089","1,744"
10013,"1,745","0,063","1,745"
15060,"1,745","0,042","1,745"
20001,"1,745","0,032","1,745"